t,asset,close
1754006400,btc,115400.0
1754006400,eth,3680.25
1754010000,btc,115312.5
1754010000,eth,3688.85
1754013600,btc,115922.5
1754013600,eth,3715.55
1754017200,btc,115620.5
1754017200,eth,3704.25
1754020800,btc,115680.0
1754020800,eth,3680.4
1754024400,btc,115578.5
1754024400,eth,3673.6
1754028000,btc,115123.0
1754028000,eth,3661.15
1754031600,btc,115063.5
1754031600,eth,3648.4
1754035200,btc,114573.5
1754035200,eth,3607.8
1754038800,btc,114923.0
1754038800,eth,3616.65
1754042400,btc,114728.0
1754042400,eth,3613.4
1754046000,btc,115276.0
1754046000,eth,3641.25
1754049600,btc,115746.0
1754049600,eth,3661.05
1754053200,btc,114300.0
1754053200,eth,3597.65
1754056800,btc,115580.0
1754056800,eth,3631.2
1754060400,btc,115350.0
1754060400,eth,3615.0
1754064000,btc,114985.0
1754064000,eth,3586.5
1754067600,btc,114388.0
1754067600,eth,3570.0
1754071200,btc,113795.5
1754071200,eth,3547.9
1754074800,btc,113237.5
1754074800,eth,3516.0
1754078400,btc,113943.0
1754078400,eth,3538.3
1754082000,btc,113864.5
1754082000,eth,3534.5
1754085600,btc,113137.5
1754085600,eth,3460.65
1754089200,btc,113249.5
1754089200,eth,3485.75
1754092800,btc,113750.0
1754092800,eth,3513.95
1754096400,btc,113609.5
1754096400,eth,3516.6
1754100000,btc,113628.0
1754100000,eth,3522.8
1754103600,btc,113842.0
1754103600,eth,3527.25
1754107200,btc,113963.0
1754107200,eth,3533.0
1754110800,btc,113941.5
1754110800,eth,3519.0
1754114400,btc,113675.0
1754114400,eth,3478.15
1754118000,btc,113929.5
1754118000,eth,3517.5
1754121600,btc,113637.5
1754121600,eth,3489.0
1754125200,btc,113647.0
1754125200,eth,3490.9
1754128800,btc,113522.0
1754128800,eth,3489.5
1754132400,btc,113751.5
1754132400,eth,3506.1
1754136000,btc,113607.5
1754136000,eth,3507.25
1754139600,btc,113429.0
1754139600,eth,3506.3
1754143200,btc,113086.5
1754143200,eth,3478.3
1754146800,btc,112788.0
1754146800,eth,3457.0
1754150400,btc,113137.0
1754150400,eth,3469.25
1754154000,btc,112671.0
1754154000,eth,3421.25
1754157600,btc,112273.5
1754157600,eth,3381.7
1754161200,btc,112192.5
1754161200,eth,3381.0
1754164800,btc,112739.5
1754164800,eth,3421.55
1754168400,btc,112835.0
1754168400,eth,3410.8
1754172000,btc,112814.0
1754172000,eth,3409.0
1754175600,btc,112508.0
1754175600,eth,3392.25
1754179200,btc,112909.5
1754179200,eth,3408.65
1754182800,btc,113078.0
1754182800,eth,3412.95
1754186400,btc,113457.0
1754186400,eth,3443.25
1754190000,btc,113565.0
1754190000,eth,3443.1
1754193600,btc,113414.5
1754193600,eth,3443.15
1754197200,btc,113582.5
1754197200,eth,3444.0
1754200800,btc,113507.5
1754200800,eth,3439.5
1754204400,btc,113645.0
1754204400,eth,3456.0
1754208000,btc,113625.5
1754208000,eth,3462.05
1754211600,btc,113572.5
1754211600,eth,3465.25
1754215200,btc,113810.0
1754215200,eth,3485.0
1754218800,btc,113823.0
1754218800,eth,3483.95
1754222400,btc,113976.0
1754222400,eth,3488.7
1754226000,btc,113916.0
1754226000,eth,3490.25
1754229600,btc,113752.5
1754229600,eth,3471.5
1754233200,btc,113922.0
1754233200,eth,3476.5
1754236800,btc,113970.0
1754236800,eth,3494.5
1754240400,btc,114110.0
1754240400,eth,3489.3
1754244000,btc,114381.5
1754244000,eth,3496.4
1754247600,btc,114304.5
1754247600,eth,3496.0
1754251200,btc,114452.0
1754251200,eth,3492.75
1754254800,btc,114442.0
1754254800,eth,3502.25
1754258400,btc,114303.0
1754258400,eth,3502.5
1754262000,btc,114211.0
1754262000,eth,3496.05
1754265600,btc,114912.5
1754265600,eth,3546.3
1754269200,btc,114703.5
1754269200,eth,3537.25
1754272800,btc,114829.5
1754272800,eth,3571.2
1754276400,btc,114610.0
1754276400,eth,3557.0
1754280000,btc,114409.5
1754280000,eth,3539.25
1754283600,btc,114415.5
1754283600,eth,3534.0
1754287200,btc,114458.5
1754287200,eth,3539.85
1754290800,btc,114672.0
1754290800,eth,3550.95
1754294400,btc,114550.0
1754294400,eth,3549.8
1754298000,btc,114338.5
1754298000,eth,3546.0
1754301600,btc,114264.0
1754301600,eth,3555.0
1754305200,btc,114513.0
1754305200,eth,3555.25
1754308800,btc,114454.5
1754308800,eth,3569.1
1754312400,btc,114941.5
1754312400,eth,3621.05
1754316000,btc,114748.0
1754316000,eth,3639.0
1754319600,btc,114865.5
1754319600,eth,3649.2
