ts_us,asset,expiry_us,strike,opt_type,mark_iv,bid_iv,ask_iv,mark_price,underlying_price,delta,open_interest
1761958798463000,eth,1774598400000000,3400,put,68.94,68.32,69.47,0.1038,3914.75,-0.29418,1716.0
1761958795409000,eth,1774598400000000,1500,put,85.89,84.57,87.09,0.0051,3914.72,-0.02087,1364.0
1761958798463000,eth,1782460800000000,7200,put,71.42,,112.15,0.8768,3959.88,-0.77348,76.0
1761958799470000,eth,1782460800000000,5400,put,69.06,42.24,102.24,0.4788,3959.89,-0.60976,15.0
1761958795442000,eth,1782460800000000,3500,put,68.55,68.03,68.56,0.152,3959.88,-0.30864,3219.0
1761958799470000,eth,1782460800000000,15000,put,80.79,,159.92,2.7971,3959.87,-0.95719,0.0
1761958795442000,eth,1782460800000000,1000,put,88.85,88.07,90.13,0.0036,3959.88,-0.01133,1291.0
1761958799470000,eth,1766736000000000,7000,put,77.37,,93.7,0.8111,3873.1,-0.96523,231.0
1761958798463000,eth,1766736000000000,5300,put,68.77,,125.22,0.3869,3873.1,-0.85035,12.0
1761958799470000,eth,1766736000000000,4200,put,66.72,66.37,67.35,0.155,3873.1,-0.57229,4142.0
1761958795442000,eth,1766736000000000,2800,put,75.03,74.24,75.66,0.0166,3873.14,-0.10437,15138.0
1761958795442000,eth,1766736000000000,1400,put,101.29,99.25,107.29,0.0004,3873.14,-0.00273,1403.0
1761958799470000,eth,1790323200000000,9000,put,72.82,,114.8,1.3041,4009.05,-0.79548,0.0
1761958799470000,eth,1790323200000000,6200,put,69.75,41.83,102.28,0.6686,4009.04,-0.62869,0.0
1761958799470000,eth,1790323200000000,4000,put,68.37,67.31,69.26,0.2528,4009.05,-0.37158,146.0
1761958799470000,eth,1763712000000000,4400,put,64.85,,130.46,0.1584,3856.685,-0.78393,0.0
1761958797456000,eth,1763712000000000,3750,put,66.04,65.65,66.75,0.0484,3856.73,-0.39817,133.0
1761958799470000,eth,1761984000000000,4100,put,68.65,,166.74,0.066,3846.0135,-0.99949,180.0
1761958799470000,eth,1761984000000000,3825,put,38.32,35.07,40.15,0.0021,3846.0135,-0.30459,805.0
1761958798915000,btc,1769760000000000,124000,put,43.73,42.96,44.32,0.1599,111258.4608,-0.65162,0.1
1761958796258000,btc,1769760000000000,102000,put,45.97,45.51,46.36,0.0518,111258.0538,-0.31054,2.3
1761958795932000,btc,1763712000000000,125000,put,40.3,,103.83,0.1405,110003.21,-0.90279,0.1
1761958799922000,btc,1763712000000000,108000,put,40.87,40.14,41.24,0.0297,110003.41,-0.40558,11.4
1761958799470000,eth,1763107200000000,3400,put,69.41,68.3,70.48,0.0115,3852.82,-0.15622,2739.0
1761958795442000,eth,1763107200000000,4800,call,66.49,65.46,67.58,0.0024,3852.89,0.04757,1166.0
1761958796449000,eth,1766736000000000,4200,call,66.72,66.3,67.29,0.0706,3873.13,0.42772,25383.0
1761958796425000,eth,1764316800000000,4600,call,65.8,65.6,66.27,0.0172,3860.6,0.18836,8607.0
1761958796449000,eth,1766736000000000,5300,call,68.77,68.22,69.32,0.0185,3873.13,0.14966,4225.0
1761958796032000,btc,1762243200000000,113000,call,29.83,29.14,30.47,0.0023,109746.055,0.15451,15.4
