ts_us,asset,expiry_us,strike,opt_type,mark_iv,bid_iv,ask_iv,mark_price,underlying_price,delta,open_interest
1722473999848000,eth,1729843200000000,3300,put,60.41,59.93,60.98,0.113,3319.02,-0.4342,180.0
1722473996210000,btc,1735286400000000,105000,put,61.63,58.64,64.66,0.5843,67636.45,-0.82206,2.2
1722473999162000,btc,1735286400000000,63000,call,55.97,55.27,56.75,0.1737,67636.16,0.64707,365.0
1722473995202000,btc,1751011200000000,150000,call,66.24,65.35,67.08,0.0513,71128.39,0.19243,0.0
1722473998843000,btc,1722672000000000,64000,put,46.24,44.86,48.18,0.0099,64674.8386,-0.38033,17.6
1722473997216000,btc,1743148800000000,70000,call,58.96,58.35,59.62,0.1854,69439.72,0.58778,703.6
1722473996209000,btc,1743148800000000,70000,put,58.96,57.86,59.92,0.1935,69439.51,-0.41222,81.5
1722473999415000,btc,1735286400000000,80000,call,58.03,57.53,58.35,0.0847,67636.16,0.394,1747.6
1722473999151000,btc,1727424000000000,65000,put,49.74,49.31,49.95,0.0727,65723.78,-0.43852,978.3
1722473999648000,btc,1725004800000000,64000,put,46.07,45.46,46.36,0.0432,65156.17,-0.41979,684.0
1722473999892000,btc,1722672000000000,64500,put,45.93,43.75,46.92,0.0132,64674.8386,-0.46312,20.1
1722473995613000,btc,1731052800000000,63000,put,53.62,53.25,54.02,0.0832,66610.29,-0.36727,11.2
1722473999093000,btc,1723795200000000,64000,put,44.8,43.89,45.14,0.0297,64910.9167,-0.42075,231.0
1722473995202000,btc,1735286400000000,42000,put,59.39,58.66,60.34,0.0146,67634.78,-0.07383,114.8
1722473999230000,btc,1723190400000000,56000,call,57.46,,72.81,0.1372,64787.07,0.95786,0.0
1722473999415000,btc,1723190400000000,66000,call,44.83,43.34,45.91,0.0189,64788.16,0.40497,241.2
1722473999140000,btc,1743148800000000,50000,put,58.29,57.46,58.9,0.0567,69439.85,-0.17571,289.6
1722473998223000,btc,1723190400000000,76000,put,59.52,,,0.1745,64788.16,-0.95856,0.0
1722473999230000,btc,1723190400000000,70000,put,48.72,34.06,61.86,0.0862,64787.07,-0.84548,230.9
1722473999230000,btc,1723190400000000,63000,call,44.28,42.77,47.36,0.0423,64787.07,0.67454,28.8
1722473995202000,btc,1723190400000000,58000,put,51.87,50.79,53.18,0.0026,64786.4,-0.0729,180.6
1722473999230000,btc,1723190400000000,92000,call,84.56,,87.96,0.0001,64787.07,0.0036,167.2
1722473999230000,btc,1723190400000000,52000,call,69.72,,199.14,0.198,64787.07,0.984,0.1
1722473996210000,btc,1723190400000000,62000,call,45.0,42.09,48.38,0.0534,64788.17,0.75253,15.7
1722473999230000,btc,1723190400000000,69000,put,47.33,37.76,58.07,0.0726,64787.07,-0.80164,130.1
1722473999230000,btc,1723190400000000,54000,call,63.34,,84.58,0.1675,64787.07,0.97473,0.0
1722473997216000,btc,1723190400000000,94000,put,84.93,,306.3,0.451,64788.17,-0.99777,0.0
1722473999230000,btc,1723190400000000,59000,call,49.61,,59.85,0.0929,64787.07,0.90125,0.0
1722473999230000,btc,1723190400000000,60000,call,47.94,,54.94,0.079,64787.07,0.864,1.0
1722473996209000,btc,1743148800000000,65000,call,58.51,57.86,59.19,0.2149,69439.51,0.64667,992.7
1722473999123000,btc,1723795200000000,66000,call,45.41,44.69,45.92,0.0296,64910.7967,0.44728,157.3
1722473996210000,btc,1723190400000000,61000,call,46.14,41.8,,0.0657,64788.17,0.81625,4.7
1722473999153000,btc,1725004800000000,65000,call,46.16,45.47,46.8,0.0533,65156.17,0.53337,1092.6
1722473998224000,btc,1729843200000000,74000,put,52.91,27.8,78.66,0.1753,66312.2254,-0.6183,5.1
1722473999646000,btc,1725004800000000,66000,call,46.4,45.94,46.83,0.0465,65156.17,0.48716,1497.8
1722473997216000,btc,1723190400000000,66000,put,44.83,42.99,46.42,0.0376,64788.17,-0.59503,375.7
1722473994579000,btc,1729843200000000,63000,call,51.53,50.61,52.53,0.1237,66316.05,0.62948,2.0
1722473997216000,btc,1729843200000000,65000,call,51.63,51.09,52.15,0.1085,66310.6369,0.58113,5.9
1722473999869000,eth,1731052800000000,5000,call,66.34,65.64,66.83,0.0249,3331.9715,0.15864,1521.0
1722473995480000,eth,1735286400000000,2700,call,63.78,62.25,64.61,0.2664,3378.56,0.7748,254.0
1722473999230000,btc,1729843200000000,70000,put,52.31,51.24,53.32,0.1336,66312.1892,-0.53491,29.4
1722473998498000,eth,1735286400000000,2700,put,63.78,63.22,64.01,0.0656,3378.58,-0.22519,609.0
1722473995377000,eth,1735286400000000,2300,call,64.3,62.02,65.45,0.3505,3378.56,0.87352,274.0
1722473999772000,eth,1727424000000000,5000,call,65.15,64.13,66.06,0.007,3291.89,0.06807,19755.0
1722473995480000,eth,1735286400000000,2500,call,63.83,62.18,64.95,0.3062,3378.56,0.82732,220.0
1722473994708000,btc,1723795200000000,63000,call,44.69,43.91,46.53,0.0526,64914.3667,0.64542,20.5
1722473998958000,eth,1735286400000000,3600,call,64.91,64.54,65.33,0.1385,3378.54,0.52131,2105.0
1722473995439000,btc,1729843200000000,68000,put,52.02,51.22,53.04,0.1145,66314.5038,-0.48966,44.0
1722473996912000,eth,1735286400000000,2600,call,63.78,62.23,64.77,0.2858,3378.56,0.80166,401.0
1722473999250000,btc,1723795200000000,65000,put,45.11,43.84,45.68,0.0375,64910.78,-0.48752,234.5
1722473999790000,btc,1723190400000000,64000,put,44.12,42.88,44.59,0.0207,64788.16,-0.41398,317.6
1722473998224000,btc,1722499200000000,80000,put,83.56,,478.19,0.2378,64629.3076,-1.0,0.0
1722473997217000,btc,1722499200000000,75000,put,83.56,,320.06,0.1605,64629.2411,-1.0,0.0
1722473998224000,btc,1722499200000000,76000,call,83.56,,220.5,0.0,64629.3076,0.0,0.6
1722473998224000,btc,1722499200000000,71500,call,79.96,,145.47,0.0,64629.3076,0.0,39.1
1722473998224000,btc,1722499200000000,59000,call,80.5,,233.18,0.0871,64629.3076,0.99997,0.3
1722473998224000,btc,1722499200000000,80000,call,83.56,,281.25,0.0,64629.3076,0.0,0.0
1722473998224000,btc,1722499200000000,73500,call,83.56,,179.84,0.0,64629.3076,0.0,20.4
1722473998130000,btc,1722499200000000,63000,call,57.3,,,0.0256,64629.2411,0.94323,0.1
1722473999618000,btc,1722499200000000,81000,put,83.56,,451.41,0.2533,64629.3076,-1.0,0.0
1722473997217000,btc,1722499200000000,74000,put,83.56,,296.47,0.145,64629.2411,-1.0,0.0
1722473998224000,btc,1722499200000000,70000,call,79.71,,129.65,0.0,64629.3076,0.00021,131.4
1722473999231000,btc,1722499200000000,68000,call,79.15,,88.41,0.0001,64629.3642,0.01196,255.3
1722473998224000,btc,1722499200000000,61000,put,80.31,,90.2,0.0,64629.3076,-0.00528,39.7
1722473997217000,btc,1722499200000000,72500,put,82.4,,266.82,0.1218,64629.2411,-1.0,0.0
1722473997217000,btc,1722499200000000,76000,put,83.56,,343.1,0.1759,64629.2411,-1.0,0.0
1722473997217000,btc,1722499200000000,71500,put,79.96,,241.2,0.1063,64629.2411,-1.0,0.0
1722473998224000,btc,1722499200000000,59000,put,80.5,,134.38,0.0,64629.3076,-3e-05,4.0
1722473997217000,btc,1722499200000000,66000,put,53.23,,81.49,0.0218,64629.2411,-0.91733,153.4
1722473999401000,btc,1722499200000000,79000,put,83.56,,409.36,0.2224,64629.3076,-1.0,0.0
1722473997217000,btc,1722499200000000,73000,put,83.23,,272.27,0.1295,64629.2411,-1.0,0.3
1722473998224000,btc,1722499200000000,79000,call,83.56,,287.65,0.0,64629.3076,0.0,9.0
1722473998224000,btc,1722499200000000,73000,call,83.23,,171.41,0.0,64629.3076,0.0,260.2
1722473997678000,btc,1731052800000000,70000,call,54.46,53.93,54.89,0.0921,66608.5238,0.4869,138.4
1722473998224000,btc,1722499200000000,81000,call,83.56,,295.72,0.0,64629.3076,0.0,0.1
1722473998224000,btc,1722499200000000,65000,put,41.28,29.95,50.2,0.0081,64629.3076,-0.68593,163.8
1722473998224000,btc,1722499200000000,74000,call,83.56,,188.16,0.0,64629.3076,0.0,27.9
1722473997217000,btc,1722499200000000,72000,put,82.36,,247.4,0.114,64629.2411,-1.0,0.3
1722473999399000,btc,1722499200000000,63500,call,48.8,,,0.0181,64629.3076,0.90031,0.0
1722473998224000,btc,1722499200000000,72000,call,82.36,,168.03,0.0,64629.3076,0.0,49.5
1722473998224000,btc,1722499200000000,60000,call,80.39,,199.3,0.0716,64629.3076,0.99948,0.0
1722473999231000,btc,1722499200000000,68500,call,79.15,,89.91,0.0,64629.3642,0.00487,122.2
1722473998224000,btc,1722499200000000,77000,call,83.56,,255.38,0.0,64629.3076,0.0,19.2
1722473997217000,btc,1722499200000000,66500,put,63.13,,95.65,0.0294,64629.2411,-0.9441,124.1
1722473998224000,btc,1722499200000000,71000,call,79.91,,149.14,0.0,64629.3076,2e-05,69.7
1722473998224000,btc,1722499200000000,75000,call,83.56,,221.7,0.0,64629.3076,0.0,10.8
1722473998224000,btc,1722499200000000,67500,call,76.14,69.93,82.91,0.0002,64629.3076,0.02242,203.5
1722473999427000,btc,1735286400000000,51000,put,56.41,56.0,56.94,0.0382,67636.16,-0.16729,152.2
1722473998224000,btc,1729843200000000,67000,put,51.89,51.06,52.88,0.1056,66312.2254,-0.46641,12.6
1722473999140000,btc,1723190400000000,65000,put,44.45,42.9,45.39,0.0284,64788.16,-0.50607,309.3
1722473999112000,btc,1722499200000000,65000,call,41.27,37.75,42.77,0.0024,64629.2411,0.31403,54.0
1722473998224000,btc,1722499200000000,78000,call,83.56,,251.48,0.0,64629.3076,0.0,9.0
1722473998224000,btc,1722499200000000,72500,call,82.4,,162.88,0.0,64629.3076,0.0,41.5
1722473994132000,btc,1722499200000000,69000,call,79.27,,109.55,0.0,64630.9595,0.00182,261.7
1722473996287000,btc,1735286400000000,20000,put,81.55,77.78,85.78,0.0009,67636.45,-0.00461,167.2
1722473996612000,btc,1735286400000000,30000,put,66.88,65.21,68.9,0.003,67636.45,-0.017,127.1
1722473998586000,eth,1722672000000000,3275,put,48.76,43.89,53.7,0.0215,3240.0543,-0.60191,85.0
1722473999790000,eth,1722672000000000,3200,call,48.81,46.12,54.48,0.0223,3240.0543,0.63343,0.0
1722473997217000,btc,1722672000000000,68500,put,50.91,,66.84,0.0606,64674.8386,-0.91981,0.0
1722473999077000,btc,1722672000000000,69000,put,52.24,,71.11,0.068,64674.9071,-0.93854,0.0
1722473997217000,btc,1722672000000000,75000,put,71.8,,,0.1598,64674.8386,-0.99141,0.0
1722473996211000,btc,1722672000000000,68500,call,50.91,49.69,53.03,0.0014,64673.0857,0.08002,22.2
1722473996189000,btc,1722672000000000,73000,put,66.45,,99.65,0.1289,64674.7471,-0.9885,0.0
1722473998224000,btc,1722672000000000,58000,call,65.48,,,0.1036,64674.9071,0.97924,0.0
1722473997217000,btc,1722672000000000,70000,put,55.99,,75.23,0.083,64674.8386,-0.9609,0.0
1722473999074000,btc,1722672000000000,69500,put,54.18,,75.09,0.0755,64674.8386,-0.95098,0.0
1722473997217000,btc,1722672000000000,68000,put,49.66,,,0.0534,64674.8386,-0.8951,0.1
1722473998224000,btc,1722672000000000,59000,call,62.27,,,0.0884,64674.9071,0.96708,0.0
1722473998224000,btc,1722672000000000,77000,call,74.43,,98.88,0.0,64674.9071,0.00178,0.0
1722473995203000,btc,1722672000000000,74000,call,69.8,,84.73,0.0001,64674.7471,0.00804,7.5
1722473997217000,btc,1722672000000000,67000,put,47.7,,70.3,0.0396,64674.8386,-0.82001,0.7
1722473997217000,btc,1722672000000000,77000,put,74.43,,,0.1907,64674.8386,-0.99489,0.0
1722473997217000,btc,1722672000000000,62500,call,48.5,,,0.0376,64674.8386,0.81613,0.0
1722473997217000,btc,1722672000000000,70500,put,57.83,,82.11,0.0906,64674.8386,-0.96845,0.0
1722473997217000,btc,1722672000000000,76000,put,74.07,,,0.1753,64674.8386,-0.99149,0.0
1722473997217000,btc,1722672000000000,74000,put,69.8,,,0.1444,64674.8386,-0.98705,0.0
1722473998224000,btc,1722672000000000,60000,call,57.69,,,0.0735,64674.9071,0.94387,0.0
1722473997217000,btc,1722672000000000,58000,put,65.48,61.33,70.2,0.0003,64674.8386,-0.01679,0.3
