event_id,expiry_ts,strike,token_id,settled_yes,t,p
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1784998810,0.5
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1784998810,0.5
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785002411,0.5
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785002411,0.5
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785006009,0.5
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785006009,0.5
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785009609,0.5
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785009609,0.5
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785013228,0.76
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785013228,0.76
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785016808,0.745
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785016808,0.745
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785020428,0.745
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785020428,0.745
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785024011,0.9845
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785024011,0.9845
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785027609,0.9845
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785027609,0.9845
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785031208,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785031208,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785034812,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785034812,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785038407,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785038407,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785042008,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785042008,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785045611,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785045611,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785049230,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785049230,0.985
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785052810,0.9845
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785052810,0.9845
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785056409,0.9875
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785056409,0.9875
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785060008,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785060008,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785063608,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785063608,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785067211,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785067211,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785070807,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785070807,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785074409,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785074409,0.988
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785078032,0.9905
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785078032,0.9905
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785081609,0.991
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785081609,0.991
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785085209,0.99
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785085209,0.99
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785088812,0.991
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785088812,0.991
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785092410,0.992
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785092410,0.992
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785096023,0.9925
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785096023,0.9925
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785099631,0.993
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785099631,0.993
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785103209,0.9935
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785103209,0.9935
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785106809,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785106809,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785110413,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785110413,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785114009,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785114009,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785117608,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785117608,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785121212,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785121212,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785124811,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785124811,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785128408,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785128408,0.9945
748071,1785600000,54000.0,51442191746577683828934494309149287025426922386727185801496758859342748703079,1.0,1785132011,0.9945
