snap_ts,asset,expiry_ms,strike,opt_type,mark_iv,mark_price,bid,ask,underlying_price,open_interest
1786060054,btc,1787904000000,110000.0,put,65.75,0.70991583,0.695,0.7445,64331.98,0.2
1786060054,btc,1786348800000,64000.0,put,24.96,0.00802226,0.0075,0.0085,64204.49,1.0
1786060054,btc,1798185600000,40000.0,call,56.66,0.39744159,0.3955,0.399,65289.42,250.9
1786060054,btc,1786089600000,65500.0,call,30.44,4.74e-05,,0.0001,64179.94,66.1
1786060054,btc,1798185600000,135000.0,put,46.56,1.06849537,0.9985,1.1475,65289.42,0.6
1786060054,btc,1806048000000,105000.0,call,40.47,0.01344269,0.013,0.014,65975.81,183.3
1786060054,btc,1806048000000,100000.0,put,40.17,0.5334632,0.53,0.5385,65976.01,12.1
1786060054,btc,1787904000000,58000.0,put,38.61,0.00596417,0.0055,0.0065,64331.98,958.9
1786060054,btc,1787904000000,81000.0,put,39.63,0.25939359,0.255,0.2995,64331.98,0.1
1786060054,btc,1787299200000,63000.0,call,31.27,0.03562847,0.035,0.0365,64274.87,16.5
1786060054,btc,1813910400000,130000.0,put,42.46,0.95950645,0.9555,0.9695,66709.38,1.3
1786060054,btc,1798185600000,20000.0,put,87.37,0.00149022,0.0013,0.0017,65289.62,106.1
1786060054,btc,1787299200000,70000.0,put,28.93,0.09093165,0.088,0.0945,64274.35,0.0
1786060054,btc,1793347200000,74000.0,call,35.34,0.02259019,0.022,0.023,64828.42,112.0
1786060054,btc,1787904000000,46000.0,put,58.32,0.00034543,0.0003,0.0004,64331.79,1731.8
1786060054,btc,1813910400000,80000.0,call,41.04,0.08654059,0.0855,0.0875,66709.2,68.5
1786060054,btc,1786262400000,57000.0,put,53.89,3.614e-05,,0.0001,64198.62,30.0
1786060054,btc,1806048000000,140000.0,call,44.41,0.00304428,0.0028,0.0033,65975.81,761.4
1786060054,btc,1786089600000,67000.0,call,36.51,1.6e-07,,0.0001,64179.94,1970.0
1786060054,btc,1798185600000,62000.0,call,40.34,0.12427311,0.123,0.1255,65289.42,255.1
1786060054,btc,1793347200000,71000.0,put,35.68,0.12902025,0.1275,0.1305,64828.42,0.0
1786060054,btc,1813910400000,82000.0,call,40.97,0.07902817,0.078,0.08,66709.2,62.0
1786060054,btc,1813910400000,110000.0,call,41.21,0.02275295,0.022,0.0235,66709.38,212.0
1786060054,btc,1790323200000,30000.0,call,86.58,0.53591741,0.535,0.537,64564.09,134.0
1786060054,btc,1787299200000,53000.0,put,46.99,0.00059324,0.0005,0.0007,64274.87,64.3
1786060054,btc,1813910400000,85000.0,put,40.87,0.34303594,0.341,0.347,66709.2,6.8
1786060054,btc,1786176000000,63500.0,call,28.44,0.01351435,0.0115,0.015,64191.6,33.8
1786060054,btc,1806048000000,108000.0,call,40.72,0.01149886,0.011,0.012,65976.01,57.3
1786060054,btc,1786694400000,70000.0,call,31.53,0.00048279,0.0004,0.0006,64227.16,1423.6
1786060054,btc,1790323200000,170000.0,call,71.81,1.264e-05,,0.0002,64564.29,359.5
1786060054,btc,1798185600000,60000.0,call,41.03,0.14291636,0.1415,0.1445,65289.42,786.9
1786060054,btc,1790323200000,190000.0,put,72.99,1.94280754,1.844,2.05,64564.29,0.0
1786060054,btc,1787904000000,73000.0,call,31.43,0.00161713,0.0015,0.0018,64331.98,1734.5
1786060054,btc,1786262400000,65500.0,call,24.51,0.00157645,0.0013,0.0018,64199.25,60.8
1786060054,btc,1806048000000,55000.0,put,44.03,0.06095245,0.06,0.062,65975.81,1353.8
1786060054,btc,1813910400000,150000.0,call,44.27,0.00598858,0.0055,0.0065,66709.2,89.2
1786060054,btc,1790323200000,58000.0,call,38.83,0.11936362,0.117,0.1215,64564.09,460.8
1786060054,btc,1786176000000,61500.0,put,35.78,0.00019396,0.0002,0.0003,64191.82,29.2
1786060054,btc,1793347200000,54000.0,call,42.61,0.18599573,0.184,0.2015,64828.42,0.0
1786060054,btc,1787904000000,59000.0,put,37.06,0.00762839,0.0075,0.008,64331.98,820.3
1786060054,btc,1793347200000,82000.0,put,35.66,0.27243105,0.2685,0.278,64828.42,0.0
1786060054,btc,1806048000000,106000.0,put,40.54,0.61940089,0.615,0.626,65975.81,0.1
1786060054,btc,1787904000000,105000.0,call,63.37,3.653e-05,,0.0001,64331.98,169.2
1786060054,btc,1790323200000,300000.0,put,84.97,3.6465336,3.4905,3.8155,64564.09,0.0
1786060054,btc,1787904000000,48000.0,call,54.84,0.25440954,0.2515,0.257,64331.98,37.5
1786060054,btc,1793347200000,54000.0,put,42.61,0.01899226,0.0185,0.0195,64828.42,30.2
1786060054,btc,1798185600000,210000.0,put,58.2,2.21654204,2.1085,2.335,65289.62,0.0
1786060054,btc,1790323200000,35000.0,put,75.09,0.00093652,0.0008,0.0011,64564.29,896.1
1786060054,btc,1790323200000,64000.0,put,34.7,0.0463974,0.046,0.047,64564.09,640.8
1786060054,btc,1790323200000,135000.0,put,66.59,1.09106864,1.021,1.1685,64564.29,11.5
1786060054,btc,1787904000000,56000.0,put,41.44,0.00354819,0.0034,0.0036,64331.98,1083.9
1786060054,btc,1798185600000,80000.0,call,38.38,0.02864855,0.0285,0.029,65289.42,8172.7
1786060054,btc,1798185600000,105000.0,put,40.97,0.61204394,0.6065,0.619,65289.42,109.4
1786060054,btc,1786262400000,59000.0,put,44.29,9.863e-05,,0.0001,64198.62,38.2
1786060054,btc,1798185600000,200000.0,put,58.2,2.06344054,1.9605,2.177,65289.62,0.0
1786060054,btc,1786262400000,72000.0,put,41.57,0.12157877,0.084,0.1625,64198.62,0.0
1786060054,btc,1786348800000,64500.0,call,24.47,0.0072269,0.0065,0.0075,64204.49,0.0
1786060054,btc,1793347200000,64000.0,put,37.25,0.06468901,0.064,0.0655,64828.42,196.0
1786060054,btc,1793347200000,75000.0,call,35.38,0.01982055,0.019,0.0205,64828.42,81.3
1786060054,btc,1798185600000,170000.0,put,52.94,1.6040531,1.5165,1.701,65289.42,0.0
1786060054,btc,1806048000000,60000.0,call,42.45,0.17837031,0.177,0.1795,65975.81,718.9
1786060054,btc,1787904000000,63000.0,call,32.56,0.04251728,0.042,0.0435,64331.98,979.3
1786060054,btc,1787299200000,68000.0,call,28.27,0.00474221,0.0046,0.0049,64274.87,1745.5
1786060054,btc,1793347200000,85000.0,call,36.39,0.00523198,0.005,0.0055,64828.42,5.3
1786060054,btc,1793347200000,66000.0,put,36.68,0.08030848,0.0795,0.081,64828.42,31.6
1786060054,btc,1786089600000,68000.0,put,50.19,0.05957473,0.0585,0.061,64179.94,6.2
1786060054,btc,1798185600000,72000.0,call,38.55,0.05684611,0.056,0.057,65289.42,1137.8
1786060054,btc,1790323200000,78000.0,call,33.6,0.00370781,0.0035,0.0039,64564.09,4745.4
1786060054,btc,1798185600000,40000.0,put,56.66,0.01009669,0.01,0.0105,65289.42,4330.4
1786060054,btc,1798185600000,135000.0,call,46.56,0.00078443,0.0006,0.001,65289.42,1107.8
1786060054,btc,1786089600000,64000.0,call,23.1,0.00440683,0.004,0.0048,64180.43,715.2
1786060054,btc,1787904000000,66000.0,put,30.58,0.04461795,0.0435,0.0455,64331.98,229.7
1786060054,btc,1793347200000,76000.0,call,35.39,0.01730941,0.0165,0.018,64828.42,27.2
1786060054,btc,1798185600000,104000.0,put,40.75,0.59696764,0.5915,0.604,65289.42,0.1
1786060054,btc,1786089600000,66000.0,put,34.41,0.02842345,0.0275,0.03,64180.52,60.7
1786060054,btc,1813910400000,68000.0,put,42.1,0.16817576,0.1675,0.1695,66709.2,8.1
1786060054,btc,1798185600000,85000.0,put,38.42,0.32018287,0.317,0.3245,65289.42,548.4
1786060054,btc,1798185600000,84000.0,put,38.4,0.30659931,0.302,0.3105,65289.42,47.1
1786060054,btc,1793347200000,70000.0,call,35.81,0.03837518,0.0375,0.039,64828.42,115.0
1786060054,btc,1793347200000,86000.0,call,36.56,0.0045998,0.0044,0.0048,64828.42,8.1
1786060054,btc,1790323200000,84000.0,put,36.64,0.30250303,0.2975,0.308,64564.09,34.7
1786060054,btc,1806048000000,180000.0,put,49.17,1.72933129,1.637,1.834,65975.81,0.0
1786060054,btc,1813910400000,72000.0,call,41.64,0.12461335,0.1235,0.1255,66709.38,24.8
1786060054,btc,1786694400000,68000.0,call,27.95,0.00136741,0.0013,0.0014,64227.74,1866.2
1786060054,btc,1786694400000,59000.0,put,37.1,0.00113701,0.001,0.0012,64227.74,118.6
