snap_ts,asset,expiry_ms,strike,opt_type,mark_iv,mark_price,bid,ask,underlying_price,open_interest
1782525701,btc,1790323200000,66000.0,put,40.24,0.13878864,0.132,0.144,60320.35,193.9
1782525701,btc,1813910400000,90000.0,call,43.03,0.05493691,0.0525,0.0575,62202.79,54.0
1782525701,btc,1783670400000,57000.0,put,48.35,0.01671815,0.0165,0.017,59898.49,52.1
1782525701,btc,1806048000000,78000.0,call,42.7,0.06470191,0.064,0.0655,61545.64,245.2
1782525701,btc,1787904000000,90000.0,put,42.45,0.49810618,0.447,0.555,60106.79,0.5
1782525701,btc,1782547200000,61000.0,put,35.63,0.0191864,0.013,0.024,59856.79,133.3
1782525701,btc,1782633600000,61000.0,put,21.99,0.01954646,0.012,0.056,59856.79,19.4
1782525701,btc,1790323200000,85000.0,put,39.07,0.41271806,0.404,0.421,60320.35,454.5
1782525701,btc,1785484800000,106000.0,call,64.52,0.00015099,,0.0002,59973.93,42.4
1782525701,btc,1782806400000,63000.0,call,35.86,0.0010013,0.0009,0.0011,59856.83,143.2
1782525701,btc,1785484800000,62000.0,put,40.86,0.06941484,0.0655,0.073,59973.93,948.6
1782525701,btc,1798185600000,95000.0,put,41.91,0.57003357,0.558,0.582,60920.09,85.9
1782525701,btc,1785484800000,96000.0,put,57.17,0.60094597,0.5465,0.6605,59973.93,0.1
1782525701,btc,1790323200000,125000.0,put,54.54,1.0726958,1.002,1.15,60320.35,22.7
1782525701,btc,1787904000000,75000.0,put,38.28,0.25423431,0.246,0.26,60106.79,27.8
1782525701,btc,1782633600000,70000.0,put,79.05,0.16951343,0.1605,0.212,59856.79,0.0
1782525701,btc,1782806400000,53000.0,call,66.75,0.11532833,0.0825,0.148,59856.83,0.0
1782525701,btc,1806048000000,96000.0,call,42.87,0.02560618,0.0245,0.0265,61545.64,113.9
1782525701,btc,1787904000000,77000.0,call,38.24,0.00446481,0.004,0.0044,60106.8,88.6
1782525701,btc,1787904000000,82000.0,put,38.68,0.36606546,0.3565,0.4195,60106.79,0.0
1782525701,btc,1798185600000,70000.0,put,42.17,0.21495024,0.205,0.222,60920.09,1047.5
1782525701,btc,1782806400000,54000.0,put,62.34,0.00089337,0.0008,0.0009,59856.83,31.7
1782525701,btc,1798185600000,125000.0,call,46.76,0.00240556,0.0021,0.0027,60920.09,626.6
1782525701,btc,1813910400000,40000.0,put,53.06,0.04704274,0.045,0.049,62202.72,25.2
1782525701,btc,1785484800000,79000.0,call,41.15,0.00073401,0.0006,0.0009,59973.93,420.8
1782525701,btc,1790323200000,140000.0,call,57.76,0.00021045,0.0001,0.0004,60320.35,1168.4
1782525701,btc,1798185600000,100000.0,call,42.53,0.00778812,0.0075,0.0085,60920.06,3701.2
1782525701,btc,1782633600000,59500.0,call,22.59,0.00873474,0.008,0.0095,59856.79,54.1
1782525701,btc,1783670400000,67000.0,call,38.65,0.00217087,0.0019,0.0022,59898.48,1449.4
1782525701,btc,1806048000000,62000.0,put,44.89,0.15798923,0.1555,0.16,61545.64,224.5
1782525701,btc,1790323200000,102000.0,put,44.74,0.69184977,0.634,0.7565,60320.35,0.4
1782525701,btc,1787904000000,59000.0,call,43.11,0.07987265,0.079,0.081,60106.79,87.3
1782525701,btc,1782720000000,57000.0,put,44.81,0.00127802,0.0012,0.0014,59856.83,201.3
1782525701,btc,1798185600000,58000.0,put,45.26,0.10115009,0.1,0.102,60920.09,1105.4
1782525701,btc,1782633600000,55000.0,put,63.82,0.00014471,0.0001,0.0002,59856.79,68.0
1782525701,btc,1782806400000,61000.0,call,36.47,0.00641016,0.006,0.007,59856.83,270.1
1782525701,btc,1783065600000,70000.0,call,48.02,0.00014208,0.0001,0.0002,59877.73,1317.2
1782525701,btc,1783065600000,55000.0,call,57.59,0.08614876,0.082,0.1225,59877.7,0.1
1782525701,btc,1787904000000,105000.0,put,50.61,0.74720747,0.6875,0.8125,60106.79,0.0
1782525701,btc,1783670400000,56000.0,put,50.34,0.01320008,0.013,0.0135,59898.48,2142.2
1782525701,btc,1798185600000,220000.0,call,63.21,0.00047635,0.0004,0.0006,60920.06,254.5
1782525701,btc,1806048000000,80000.0,call,42.79,0.05866056,0.0575,0.06,61545.64,979.0
1782525701,btc,1790323200000,175000.0,put,67.11,1.90128072,1.8035,2.008,60320.35,0.2
1782525701,btc,1784275200000,70000.0,call,38.71,0.00178034,0.0015,0.0018,59922.59,1119.2
1782525701,btc,1798185600000,56000.0,put,46.07,0.08745374,0.0865,0.0885,60920.09,122.5
1782525701,btc,1790323200000,75000.0,put,38.79,0.25723624,0.249,0.2635,60320.35,2961.5
1782525701,btc,1782806400000,52000.0,put,71.8,0.00043111,0.0003,0.0005,59856.83,14.5
1782525701,btc,1782547200000,60000.0,put,25.63,0.00404595,0.0035,0.0049,59856.79,596.0
1782525701,btc,1798185600000,140000.0,call,49.8,0.00155783,0.0013,0.0019,60920.06,1578.3
1782525701,btc,1790323200000,90000.0,call,40.73,0.0022337,0.0021,0.0024,60320.35,3093.6
1782525701,btc,1798185600000,76000.0,put,41.64,0.28997166,0.2795,0.2985,60920.09,123.7
1782525701,btc,1798185600000,250000.0,call,66.88,0.00036135,0.0003,0.0006,60920.09,1251.4
1782525701,btc,1813910400000,85000.0,call,43.15,0.06795707,0.0655,0.0705,62202.79,0.0
1782525701,btc,1813910400000,45000.0,put,50.5,0.06623064,0.064,0.0685,62202.72,1.0
1782525701,btc,1806048000000,70000.0,call,43.48,0.0996296,0.0985,0.101,61545.64,942.8
1782525701,btc,1787904000000,88000.0,call,40.72,0.0008174,0.0007,0.001,60106.79,157.4
1782525701,btc,1785484800000,82000.0,put,43.1,0.36772536,0.359,0.3745,59973.93,107.7
1782525701,btc,1787904000000,55000.0,put,46.26,0.0380917,0.0375,0.0385,60106.8,345.8
1782525701,btc,1785484800000,48000.0,put,58.2,0.00806046,0.008,0.0085,59973.87,512.3
1782525701,btc,1783065600000,55000.0,put,57.59,0.00468803,0.0045,0.0048,59877.7,1738.0
1782525701,btc,1783065600000,67000.0,put,41.58,0.11935681,0.0815,0.161,59877.7,22.4
1782525701,btc,1785484800000,80000.0,put,41.85,0.33454791,0.3255,0.341,59973.93,397.1
1782525701,btc,1806048000000,45000.0,put,50.99,0.05207697,0.051,0.053,61545.64,70.4
1782525701,btc,1782806400000,55000.0,put,57.4,0.00130477,0.0012,0.0013,59856.83,88.5
1782525701,btc,1785484800000,71000.0,put,38.43,0.18820512,0.18,0.194,59973.93,110.0
1782525701,btc,1782547200000,68000.0,put,87.58,0.13606163,0.098,0.177,59856.79,0.0
1782525701,btc,1785484800000,115000.0,put,72.74,0.91766103,0.8525,0.9885,59973.93,3.4
1782525701,btc,1782806400000,62500.0,call,35.8,0.00166223,0.0015,0.0017,59856.83,31.9
1782525701,btc,1798185600000,65000.0,put,43.13,0.16110899,0.152,0.1655,60920.06,540.4
1782525701,btc,1785484800000,83000.0,call,44.05,0.00042056,0.0003,0.0005,59973.93,1233.2
1782525701,btc,1782633600000,54000.0,call,72.12,0.09790393,0.0655,0.13,59856.79,0.0
1782525701,btc,1782633600000,51000.0,put,93.26,2.417e-05,,0.0001,59856.79,37.7
1782525701,btc,1785484800000,69000.0,call,38.81,0.00745517,0.0065,0.0075,59973.93,879.0
1782525701,btc,1813910400000,130000.0,call,44.19,0.01224343,0.011,0.0135,62202.72,5.8
1782525701,btc,1787904000000,63000.0,put,40.65,0.0952226,0.0895,0.0995,60106.79,105.9
1782525701,btc,1787904000000,110000.0,put,52.22,0.83028889,0.7685,0.898,60106.79,0.0
1782525701,btc,1798185600000,40000.0,call,56.67,0.36741902,0.3645,0.37,60920.09,63.3
1782525701,btc,1782547200000,68000.0,call,87.58,0.0,,0.0001,59856.79,43.2
1782525701,btc,1784275200000,68000.0,call,38.71,0.00366266,0.0034,0.0037,59922.59,47.7
1782525701,btc,1798185600000,135000.0,put,48.78,1.21778785,1.141,1.3045,60920.09,0.6
1782525701,btc,1806048000000,105000.0,call,43.36,0.01670901,0.016,0.0175,61545.64,158.1
1782525701,btc,1782720000000,55000.0,call,55.95,0.08164733,0.0485,0.1145,59856.83,0.0
1782525701,btc,1806048000000,100000.0,put,42.98,0.645758,0.581,0.7275,61545.62,12.1
1782525701,btc,1787904000000,58000.0,put,43.77,0.05460155,0.054,0.0555,60106.79,478.7
1782525701,btc,1783670400000,70000.0,put,39.66,0.1692265,0.1295,0.213,59898.49,0.7
1782525701,btc,1785484800000,65000.0,call,39.18,0.01873546,0.018,0.019,59973.93,1515.7
1782525701,btc,1787904000000,81000.0,put,38.68,0.34982006,0.303,0.403,60106.79,0.1
1782525701,btc,1782720000000,60000.0,put,32.02,0.01123565,0.0105,0.0115,59856.83,77.9
1782525701,btc,1813910400000,130000.0,put,44.19,1.10219393,1.024,1.1975,62202.72,0.0
1782525701,btc,1787904000000,46000.0,put,55.96,0.01231512,0.012,0.0125,60106.79,328.4
1782525701,btc,1813910400000,80000.0,call,43.42,0.08439023,0.082,0.0865,62202.79,1.1
1782525701,btc,1806048000000,140000.0,call,47.04,0.00481162,0.0042,0.0055,61545.64,719.8
1782525701,btc,1785484800000,50000.0,call,55.12,0.17734254,0.144,0.215,59973.93,2.3
1782525701,btc,1798185600000,62000.0,call,43.89,0.11530852,0.114,0.1165,60920.09,130.1
1782525701,btc,1813910400000,82000.0,call,43.31,0.07741304,0.075,0.0795,62202.79,20.4
1782525701,btc,1813910400000,110000.0,call,43.25,0.02456742,0.023,0.026,62202.72,24.1
1782525701,btc,1790323200000,30000.0,call,75.31,0.50580736,0.505,0.508,60320.35,99.2
1782525701,btc,1785484800000,108000.0,put,67.16,0.80096023,0.7405,0.8675,59973.93,0.0
1782525701,btc,1813910400000,85000.0,put,43.15,0.43446317,0.37,0.5205,62202.79,0.0
1782525701,btc,1785484800000,73000.0,call,38.81,0.00268078,0.0023,0.0027,59973.93,1375.4
1782525701,btc,1806048000000,108000.0,call,43.47,0.01445348,0.0135,0.0155,61545.62,48.4
1782525701,btc,1790323200000,170000.0,call,67.11,0.00014536,,0.0002,60320.33,352.2
1782525701,btc,1783065600000,66000.0,put,40.56,0.10297621,0.096,0.108,59877.7,73.5
1782525701,btc,1798185600000,60000.0,call,44.51,0.13136604,0.13,0.1325,60920.09,262.9
1782525701,btc,1790323200000,190000.0,put,67.11,2.14988913,2.0435,2.265,60320.33,0.0
1782525701,btc,1782720000000,63000.0,put,34.47,0.05274114,0.0465,0.0575,59856.83,62.5
1782525701,btc,1785484800000,98000.0,call,59.35,0.00024464,0.0002,0.0003,59973.93,1152.8
1782525701,btc,1787904000000,73000.0,call,38.17,0.00908414,0.0085,0.009,60106.79,303.6
1782525701,btc,1782633600000,63000.0,put,35.84,0.05260923,0.0175,0.0905,59856.79,0.3
1782525701,btc,1784275200000,63000.0,call,40.23,0.01836862,0.018,0.019,59922.59,663.8
1782525701,btc,1806048000000,55000.0,put,46.69,0.10386158,0.1025,0.105,61545.64,1338.9
1782525701,btc,1785484800000,84000.0,call,45.01,0.00038792,0.0003,0.0005,59973.93,674.2
1782525701,btc,1784275200000,61000.0,call,42.1,0.03154778,0.031,0.032,59922.59,109.4
1782525701,btc,1813910400000,150000.0,call,45.61,0.00699681,0.007,0.0075,62202.79,23.4
1782525701,btc,1790323200000,58000.0,call,43.95,0.10594278,0.1045,0.1075,60320.35,41.7
1782525701,btc,1782547200000,59000.0,call,40.19,0.01470428,0.0105,0.0205,59856.79,60.2
1782525701,btc,1783065600000,57000.0,call,51.88,0.05711642,0.024,0.094,59877.7,4.7
1782525701,btc,1787904000000,59000.0,put,43.11,0.06145549,0.0605,0.062,60106.79,325.0
1782525701,btc,1782547200000,61500.0,call,36.87,7.03e-06,,0.0001,59856.79,270.9
1782525701,btc,1806048000000,106000.0,put,43.36,0.73816158,0.672,0.821,61545.64,0.0
1782525701,btc,1782720000000,57000.0,call,44.81,0.04908361,0.0155,0.083,59856.83,0.0
1782525701,btc,1787904000000,105000.0,call,50.61,0.00032275,0.0001,0.0005,60106.79,130.3
1782525701,btc,1790323200000,300000.0,put,84.97,3.97345611,3.8055,4.1545,60320.35,0.0
1782525701,btc,1787904000000,48000.0,call,53.77,0.21748743,0.1835,0.257,60106.79,0.0
1782525701,btc,1783065600000,68000.0,put,44.93,0.13598785,0.0975,0.1785,59877.7,20.4
1782525701,btc,1798185600000,210000.0,put,62.75,2.44775172,2.331,2.577,60920.06,0.0
1782525701,btc,1790323200000,35000.0,put,67.29,0.00550208,0.005,0.006,60320.33,718.9
1782525701,btc,1783670400000,48000.0,call,69.65,0.20098509,0.1705,0.234,59898.49,0.0
1782525701,btc,1790323200000,64000.0,put,40.97,0.11760294,0.111,0.123,60320.35,496.8
1782525701,btc,1790323200000,135000.0,put,57.29,1.23834099,1.162,1.322,60320.33,11.5
1782525701,btc,1787904000000,56000.0,put,45.37,0.04298293,0.0425,0.0435,60106.79,325.4
1782525701,btc,1798185600000,80000.0,call,41.59,0.03172614,0.031,0.0325,60920.09,6598.9
1782525701,btc,1798185600000,105000.0,put,43.4,0.72954012,0.716,0.7425,60920.09,109.4
1782525701,btc,1798185600000,200000.0,put,61.22,2.28366454,2.172,2.4075,60920.06,0.0
1782525701,btc,1785484800000,115000.0,call,72.74,0.00015418,,0.0002,59973.93,161.3
1782525701,btc,1782806400000,67000.0,call,45.61,6.347e-05,,0.0002,59856.83,21.1
1782525701,btc,1782633600000,58000.0,put,34.65,0.0005176,0.0004,0.0007,59856.79,115.2
1782525701,btc,1806048000000,60000.0,call,45.36,0.16621984,0.1645,0.168,61545.64,696.2
1782525701,btc,1798185600000,170000.0,put,55.84,1.79146295,1.6965,1.8975,60920.09,0.0
1782525701,btc,1783065600000,67000.0,call,41.58,0.00040898,0.0003,0.0005,59877.7,831.9
1782525701,btc,1782633600000,68000.0,put,65.72,0.13609917,0.0975,0.1775,59856.79,0.1
1782525701,btc,1787904000000,63000.0,call,40.65,0.04709177,0.0465,0.048,60106.79,492.1
1782525701,btc,1784275200000,58000.0,put,45.75,0.02815823,0.028,0.0285,59922.59,40.3
1782525701,btc,1782633600000,69000.0,put,72.39,0.15280623,0.1135,0.1945,59856.79,0.0
1782525701,btc,1783065600000,66000.0,call,40.56,0.0007291,0.0006,0.0009,59877.73,1590.7
1782525701,btc,1798185600000,72000.0,call,41.92,0.0569328,0.056,0.058,60920.09,1098.0
1782525701,btc,1783670400000,52000.0,call,59.26,0.13715337,0.1035,0.1735,59898.49,0.0
1782525701,btc,1790323200000,78000.0,call,38.51,0.00902744,0.0085,0.009,60320.35,3488.7
1782525701,btc,1782633600000,55000.0,call,63.82,0.08124489,0.048,0.1135,59856.79,0.0
1782525701,btc,1782720000000,62000.0,put,30.59,0.03650137,0.0047,0.074,59856.83,0.8
1782525701,btc,1783670400000,65000.0,call,38.85,0.00524202,0.0048,0.0055,59898.48,378.0
1782525701,btc,1798185600000,40000.0,put,56.67,0.02401665,0.0235,0.024,60920.09,4006.2
1782525701,btc,1784275200000,66000.0,put,39.08,0.10873358,0.071,0.153,59922.59,0.0
1782525701,btc,1798185600000,135000.0,call,48.78,0.00177084,0.0015,0.002,60920.09,1045.0
1782525701,btc,1783670400000,75000.0,call,45.38,0.00014139,0.0001,0.0002,59898.49,167.9
1782525701,btc,1785484800000,81000.0,call,42.42,0.00053136,0.0004,0.0007,59973.93,1285.8
1782525701,btc,1787904000000,66000.0,put,39.38,0.12791069,0.1215,0.133,60106.79,147.3
1782525701,btc,1785484800000,77000.0,call,39.53,0.00097913,0.0008,0.0012,59973.87,1547.3
1782525701,btc,1798185600000,104000.0,put,42.96,0.71323748,0.652,0.7865,60920.09,0.0
1782525701,btc,1783065600000,80000.0,put,75.03,0.33610849,0.291,0.386,59877.73,1.1
1782525701,btc,1813910400000,68000.0,put,44.51,0.23411034,0.2095,0.253,62202.79,0.0
1782525701,btc,1798185600000,85000.0,put,41.59,0.41720937,0.4055,0.428,60920.09,548.5
1782525701,btc,1782806400000,52000.0,call,71.8,0.13186526,0.1,0.164,59856.83,0.0
1782525701,btc,1798185600000,84000.0,put,41.59,0.40248685,0.391,0.4115,60920.09,47.0
1782525701,btc,1784275200000,59000.0,put,44.39,0.03412763,0.034,0.0345,59922.59,31.0
1782525701,btc,1783065600000,65000.0,put,39.93,0.08690003,0.08,0.092,59877.7,215.2
1782525701,btc,1782806400000,59500.0,put,39.43,0.01191551,0.0115,0.012,59856.83,115.6
1782525701,btc,1785484800000,85000.0,call,45.4,0.00032317,0.0002,0.0005,59973.93,1271.4
1782525701,btc,1790323200000,84000.0,put,38.97,0.39664054,0.3855,0.405,60320.35,34.1
1782525701,btc,1806048000000,180000.0,put,52.23,1.92684406,1.826,2.041,61545.64,0.0
1782525701,btc,1813910400000,72000.0,call,43.96,0.11860383,0.1155,0.1215,62202.72,0.2
1782525701,btc,1784275200000,52000.0,call,55.4,0.14076142,0.1065,0.1775,59922.59,0.0
1782525701,btc,1785484800000,102000.0,put,61.63,0.70092374,0.643,0.7645,59973.87,0.1
1782525701,btc,1784275200000,61000.0,put,42.1,0.049529,0.049,0.05,59922.59,35.8
