snap_ts,asset,expiry_ms,strike,opt_type,mark_iv,mark_price,bid,ask,underlying_price,open_interest
1785096189,btc,1787904000000,59000.0,put,40.24,0.01402219,0.0135,0.0145,64861.09,824.2
1785096189,btc,1785312000000,64000.0,call,37.94,0.01804664,0.0175,0.0185,64635.01,0.0
1785096189,btc,1785225600000,70000.0,call,40.72,8.5e-06,,0.0001,64635.01,10.4
1785096189,btc,1806048000000,106000.0,put,40.77,0.61107604,0.5495,0.6875,66413.38,0.0
1785096189,btc,1785139200000,62000.0,put,47.17,4.809e-05,,0.0001,64635.01,340.4
1785096189,btc,1787904000000,105000.0,call,59.05,0.00021182,0.0001,0.0004,64861.09,168.1
1785096189,btc,1790323200000,300000.0,put,84.97,3.60959643,3.4535,3.776,65081.87,0.0
1785096189,btc,1787904000000,48000.0,call,56.78,0.26215188,0.2585,0.266,64861.09,37.5
1785096189,btc,1798185600000,210000.0,put,58.59,2.19416534,2.086,2.3115,65748.95,0.0
1785096189,btc,1790323200000,35000.0,put,75.98,0.00188086,0.0018,0.0019,65082.06,888.7
1785096189,btc,1790323200000,64000.0,put,37.15,0.05183673,0.051,0.0525,65081.87,525.6
1785096189,btc,1790323200000,135000.0,put,61.32,1.07449685,1.0045,1.151,65082.06,11.5
1785096189,btc,1785225600000,67000.0,call,33.77,0.00044387,0.0003,0.0005,64635.01,66.6
1785096189,btc,1787904000000,56000.0,put,43.92,0.00800801,0.0075,0.0085,64861.09,799.4
1785096189,btc,1798185600000,80000.0,call,39.5,0.03534441,0.035,0.0355,65748.71,7691.8
1785096189,btc,1798185600000,105000.0,put,41.53,0.6024251,0.588,0.6135,65748.71,109.4
1785096189,btc,1785312000000,66500.0,put,34.93,0.03127983,0.0029,0.0685,64635.01,0.0
1785096189,btc,1798185600000,200000.0,put,56.84,2.04208862,1.939,2.1545,65748.95,0.0
1785096189,btc,1785484800000,115000.0,call,72.75,0.0,,0.0001,64662.05,182.3
1785096189,btc,1785225600000,67500.0,call,33.77,0.0001858,0.0001,0.0002,64635.01,173.6
1785096189,btc,1806048000000,60000.0,call,43.59,0.18784716,0.1855,0.1895,66413.38,719.3
1785096189,btc,1798185600000,170000.0,put,51.99,1.58595505,1.498,1.6825,65748.71,0.0
1785096189,btc,1787904000000,63000.0,call,36.77,0.05896977,0.058,0.06,64861.09,839.4
1785096189,btc,1785225600000,73000.0,put,49.25,0.12939127,0.091,0.17,64635.01,0.0
1785096189,btc,1786089600000,68000.0,put,35.26,0.05860526,0.026,0.0985,64712.9,0.1
1785096189,btc,1798185600000,72000.0,call,39.51,0.06518857,0.0645,0.066,65748.71,1121.4
1785096189,btc,1790323200000,78000.0,call,35.64,0.00805851,0.008,0.0085,65081.87,4221.6
